date,channel,daypart,impressions,clicks,conversions,spend,cvr
2026-01-15,ctv,afternoon,8860,26,4,308.96,0.18348
2026-01-15,ctv,early_morning,2993,8,0,86.74,0.11947
2026-01-15,ctv,evening,20459,67,14,662.39,0.21359
2026-01-15,ctv,late_night,5758,17,2,173.52,0.16626
2026-01-15,ctv,midday,7788,26,3,224.12,0.1436
2026-01-15,ctv,morning,5122,15,2,198.71,0.15829
2026-01-15,ctv,prime,16808,53,11,569.94,0.2113
2026-01-15,paid_search,afternoon,39295,1373,36,1018.58,0.02673
2026-01-15,paid_search,early_morning,23291,724,14,529.73,0.01986
2026-01-15,paid_search,evening,18739,609,18,435.06,0.02959
2026-01-15,paid_search,late_night,8220,397,15,199.18,0.04002
2026-01-15,paid_search,midday,31802,1220,31,940.89,0.02606
2026-01-15,paid_search,morning,38883,1425,42,1058.26,0.02976
2026-01-15,paid_search,prime,8172,320,12,202.39,0.04024
2026-01-15,paid_social,afternoon,122345,2144,27,1382.83,0.01305
2026-01-15,paid_social,early_morning,37986,605,6,344.82,0.01076
2026-01-15,paid_social,evening,135096,2531,37,1282.92,0.01465
2026-01-15,paid_social,late_night,21435,403,3,198.55,0.00755
2026-01-15,paid_social,midday,87580,1412,14,828.71,0.01034
2026-01-15,paid_social,morning,73451,1106,11,664.06,0.01074
2026-01-15,paid_social,prime,42239,832,10,491.61,0.01289
2026-01-15,programmatic_display,afternoon,100811,484,8,681.44,0.01833
2026-01-15,programmatic_display,early_morning,36125,173,2,212.65,0.01587
2026-01-15,programmatic_display,evening,83219,426,8,541.82,0.01982
2026-01-15,programmatic_display,late_night,18486,92,1,106.25,0.01206
2026-01-15,programmatic_display,midday,83678,377,6,518.53,0.01823
2026-01-15,programmatic_display,morning,57489,364,5,337.88,0.01618
2026-01-15,programmatic_display,prime,32127,157,2,211.46,0.01863
2026-01-15,youtube,afternoon,49088,504,13,630.23,0.02754
2026-01-15,youtube,early_morning,16642,164,3,202.21,0.02307
2026-01-15,youtube,evening,54006,554,16,675.78,0.0294
2026-01-15,youtube,late_night,9754,96,2,124.01,0.02461
2026-01-15,youtube,midday,42037,445,11,669.29,0.02524
2026-01-15,youtube,morning,35046,409,8,437.69,0.02195
2026-01-15,youtube,prime,26526,329,11,407.84,0.03554
2026-01-16,ctv,afternoon,9140,31,5,304.9,0.17604
2026-01-16,ctv,early_morning,2943,8,1,82.48,0.13021
2026-01-16,ctv,evening,19702,59,10,647.58,0.18316
2026-01-16,ctv,late_night,5574,16,2,167.52,0.13065
2026-01-16,ctv,midday,7335,22,3,218.05,0.1505
2026-01-16,ctv,morning,6305,18,2,189.21,0.1432
2026-01-16,ctv,prime,16685,64,14,499.46,0.22816
